text,isConcert
anacondaz  дубак official music video  на улице дубак на сердце хорошо   ноября  москва  stadium  декабря  минск  republic  декабря  санктпетербург  a  билеты и расписание тура anacondazru,1
продажи билетов в stadium на нашем сайте закрыты  но их еще можно заказать здесь  httpsvkcomapp  httpsvkccvug   до встречи на концерте,1
друзья настоятельно просим вас отказаться от использования пиротехники не согласованной со службой безопасности клуба на нашем завтрашнем концерте в стадиуме надеемся на ваше понимание всем мир ,1
москва завтра,1
напоминаем что наш московский концерт который состоится уже в эту пятницу откроют специальные гости группа ермак   ноября | stadium |   собираемся к самому началу билеты anacondazru,1
немного закадровости нашего нового клипа дубак  кстати если вы его както пропустили то он здесь httpswwwyoutubecomwatchvwbkcwhumci,0
anacondaz  беляши live at stadium   большие концерты в трех столицах  ноября  москва  stadium  декабря  минск  republic  декабря  санктпетербург  a  билеты и расписание тура anacondazru,1
альбом все успели расслушать пора бы определиться с любимым треканом  зы песня двое в голосовалку не вместилась но если она  ваш фаворит можете отметить это в комментарии  anacondaz ятебяникогда,0
junkyard storytellaz  специальные гости нашего питерского концерта  просим любить и жаловать их  декабря в a  билеты anacondazruanacondazinspbhall,1
москва stadium презентация альбома я тебя никогда  уже  ноября то есть в эту пятницу  билеты anacondazruanacondazinmoscowhall  anacondaz ятебяникогда adrenalinestadium,1
как там на улице,0
екб,1
немножко проверили музыкальную эрудицию группы slaves  ищи нас гдето на пятой минуте,0
у нас тут черная пятница в самом разгаре   кому pauzernмерча по дичайшим скидкам  anacondazrutourproducts  чернаяпятница blackfriday носкисдинозаврами,0
ровно год со дня выхода клипа двое  спасибо солнечный питер  animalджаz anacondaz ятебяникогда,0
вот и на клипы ты знаешь кто он и круглый год накапали первые миллионы просмотров  а уже завтра у нас выходит новое видео угадаете на какую песню,0
черная пятница грядет а с ней и ная скидка на наш мерч акция продлится с  по   так что заходи на наш сайт под конец недели и тебе там найдется подарок и твоему новому парню anacondazrutourproducts  чернаяпятница blackfriday носкисдинозаврами,0
это будет жаркая неделька много урала и снова сибирь   ноября  ижевск  пинта  ноября  пермь  m  ноября  тюмень  байконур  ноября  екатеринбург  свобода  ноября  челябинск  ozz  билеты на anacondazru,1
anacondaz  ангел live at stadium   большие концерты в трех столицах  ноября  москва  stadium  декабря  минск  republic  декабря  санктпетербург  a  билеты и расписание тура anacondazru,1
важный день в истории мирового рока  нашему илье бешеному псу погребняку сегодня исполняется    к этому почтенному возрасту он свершил немало великих дел например записал  альбомов anacondaz и впустил в нашу грешную жизнь прекрасную заточку  ильюшон не сидит на месте  равняйся на ильюшона и поздравляй его от всей души,0
сибирь вы как там встречаемся уже на днях   ноября  красноярск  circus  ноября  новосибирск  подземка  билеты на anacondazru,1
ортм раскусывает футбольные вопросы как орешки и почти попадает в перекладину в новом выпуске проекта brosport tv  youtubecombrosporttv,0
у нашего друга мэйти вышел новый клип крот надо бы заценить   и еще припомнить нашу совместочку добрая песня  ну и на концерты к нему сходить  декабря  минск  граффити  декабря  петербург  opera  декабря  москва   тонн,1
наш большой концерт в московском adrenaline stadium откроет ермак  теперь уж точно нельзя прогуливать   билеты на anacondazru,1
на этой неделе компанию в туре нам составит великолепная заточка  следующие три города должны просто рыдать от счастья ведь ильюшон для них отпахает в две смены   ноября  киров  gaudi  ноября  казань  korston  ноября  нижний новгород  milo  все билеты на anacondazru,1
арт бу simple a r t,0
